Source,Target
1387,204
1387,278
1387,587
1387,875
1387,1505
1387,1542
1387,2017
1387,2335
1387,2343
1387,2403
1387,2733
1387,2832
1678,The_Stupid_Man_1675_AI1724
1678,The_Stupid_Man_1675_AI1724
1678,T371
1678,T371
1678,1902
47E,47B
47E,47B
1832N*,Other_Jokes_about_Religious_Figures_1800_AI1849
1832N*,Other_Jokes_about_Religious_Figures_1800_AI1849
1832N*,J2212.6
1008,Labor_Contract_1000_AI1029
1008,Labor_Contract_1000_AI1029
1008,K1412
1008,K1412
1008,196
1008,267
1008,420
1008,552
1008,664
1008,775
1008,870
1008,1158
1008,1236
1008,1937
1008,1980
1008,2563
1842A*,Other_Jokes_about_Religious_Figures_1800_AI1849
9A,9
9A,K1251.1
1791,Clergyman_and_Sexton_1775_AI1799
1791,1525F
1791,X424
1791,X424
1791,15
1791,95
1791,198
1791,517
1791,1207
1791,1707
1791,2237
1791,2762
921A,Clever_Acts_and_Words_920_AI929
921A,H585.1
1453*,1470
1453*,W111.5.2
1881*,Tall_Tales_1875_AI1999
1881*,X1252
1338,Stories_about_a_Fool_1200_AI1349
1338,1338A
1338,1338A
1338,J1731.1
304,H80
304,F771.4.4
304,H94
304,H117
304,G100
304,Q483
304,F661.1
304,P414
304,G111
304,D1096.1
304,F661
304,D823.1
304,130
304,455
304,518
304,829
304,1096
304,1661
304,1895
304,2383
304,2545
119B*,J1022
1542**,The_Clever_Man_1525_AI1639
1542**,The_Clever_Man_1525_AI1639
1542**,K1363
1542**,2179
1542**,2369
1542**,2454
1542**,2456
1049,Partnership_between_Man_and_Ogre_1030_AI1059
1049,Partnership_between_Man_and_Ogre_1030_AI1059
1049,K1741.3
1049,K1741.3
1049,K1741.1
1049,K1741.1
1049,1239
1049,1841
1049,1890
1049,2124
1049,2373
1049,2406
1049,2754
1548,The_Clever_Man_1525_AI1639
1548,The_Clever_Man_1525_AI1639
1548,K112.2
1548,K112.2
1548,802
1354,Stories_about_Married_Couples_1350_AI1439
1354,Stories_about_Married_Couples_1350_AI1439
1354,J217.0.1
1354,J217.0.1.1
1354,K2065.1
1005,Labor_Contract_1000_AI1029
1005,Labor_Contract_1000_AI1029
1005,K1441
1005,K1441
1005,75
1005,196
1005,267
1005,664
1005,775
1005,870
1005,1937
1005,2124
1005,2563
279*,Other_Animals_and_Objects_220_AI299
279*,Other_Animals_and_Objects_220_AI299
279*,J1053
314,Supernatural_Adversaries_300_AI399
314,Supernatural_Adversaries_300_AI399
314,532
314,532
314,T91.6.4
314,B184.1.6
314,B316
314,G462
314,C611
314,H56
314,C912
314,C912
314,C495.1
314,H55
314,L113.1.0.1
314,D672
314,D672
314,H75.4
314,H75.4
314,L132
314,L132
314,K1816.1
314,K1816.1
314,R222
314,S240
314,B401
314,D131
314,B313
314,B184.1
314,G82
314,K1816.0.3
314,G100
314,H311
314,H51
314,K1816
314,D1868.1
314,S224
314,F555.1
314,G550
314,K1818.2
314,H151.13
314,T31.1
314,K2257
314,D1258.1
314,D842.2
314,H55.1
314,F567.1
314,144
314,181
314,231
314,232
314,478
314,510
314,527
314,536
314,562
314,605
314,636
314,861
314,1015
314,1269
314,1304
314,1327
314,1408
314,1612
314,1655
314,1698
314,1749
314,1770
314,1796
314,1885
894,Proofs_of_Fidelity_and_Innocence_880_AI899
894,707A
894,707A
894,K1911.1.4
894,Z72.2
894,H13.2.2
894,K2251.1
894,G11.9
894,K2155.1
1920H*,Tall_Tales_1875_AI1999
360,Supernatural_Adversaries_300_AI399
360,M211
360,M210
360,D885
360,C495.2.1
360,C495.2.1
360,M175
360,498
360,682
360,1691
360,1941
360,2011
360,2380
360,2385
1716*,1965
545,Supernatural_Helpers_500_AI559
545,155
66A,The_Clever_Fox_(Other_Animal)_1_AI69
66A,K1722
66A,K607.1
1359A*,Stories_about_Married_Couples_1350_AI1439
1890,Tall_Tales_1875_AI1999
1890,X1124.3.1
1890,X1124.3.1
1890,X1110
1890,X1124.3
1890,X1124.3
1890,29
1890,117
1890,710
1890,1777
1890,2607
1562D*,The_Clever_Man_1525_AI1639
1860,K441.2.1
857,The_Man_Marries_the_Princess_850_AI869
857,The_Man_Marries_the_Princess_850_AI869
857,621
857,621
857,H522.1.1
857,H511
857,F983.2
857,B873.1
857,H573.3
328*,Supernatural_Adversaries_300_AI399
328*,Supernatural_Adversaries_300_AI399
328*,G612
328*,G612
328*,G121.1
328*,G121.1
1634B*,1634*
1634B*,1634*
1889E,Tall_Tales_1875_AI1999
1889E,Tall_Tales_1875_AI1999
1889E,1889K
1889E,613B*
1889E,X1757
1889E,H1021.1
1364,Stories_about_Married_Couples_1350_AI1439
1364,K1521
1364,P312
1364,N766
1364,M241.2
1364,715
1364,867
1893,1891
1893,X1114
961,Robbers_and_Murderers_950_AI969
961,K437.4
964,926C
774P,God_Rewards_and_Punishes_750_AI779
774P,A2771.9
1889K,1141
1889K,2081
9C,9
1291B,Stories_about_a_Fool_1200_AI1349
1291B,J1871
1291B,2335
1291B,2376
368*,751G*
368*,D661
368*,D471.1
368*,W111
217*,217
1164A,1164
704,Other_Tales_of_the_Supernatural_700_AI749
704,H41.1
842C*,Other_Religious_Tales_827_AI849
842C*,J1931
325**,Supernatural_Adversaries_300_AI399
961A,Robbers_and_Murderers_950_AI969
961A,N614
812*,812
812*,812
1792,Clergyman_and_Sexton_1775_AI1799
1792,Clergyman_and_Sexton_1775_AI1799
1792,K343.2.1
1792,K343.2.1
1792,2192
1792,2544
1792,2624
231*,Birds_220_AI249
231*,Birds_220_AI249
231*,230B*
231*,230B*
1355A,Stories_about_Married_Couples_1350_AI1439
1355A,Stories_about_Married_Couples_1350_AI1439
1355A,K1525
1355A,2161
1164B,1164
1164B,1164
1000,Labor_Contract_1000_AI1029
1000,Labor_Contract_1000_AI1029
1000,F613.3
1000,F613.3
1000,K172
1000,K172
1000,G501
1000,75
1000,196
1000,267
1000,420
1000,552
1000,664
1000,748
1000,775
1000,870
1000,1119
1000,1158
1000,1236
1000,1515
1000,1653
1000,1717
1000,1937
1000,1980
1000,2406
1000,2507
1000,2563
1000,2610
1000,2695
1341A*,Stories_about_a_Fool_1200_AI1349
1341A*,Stories_about_a_Fool_1200_AI1349
56B*,223
56B*,223
119A*,200C*
119A*,200C*
983,Other_Realistic_Tales_970_AI999
983,Other_Realistic_Tales_970_AI999
983,J81
1378A*,Stories_about_Married_Couples_1350_AI1439
1378A*,Stories_about_Married_Couples_1350_AI1439
214,Domestic_Animals_200_AI219
214,Domestic_Animals_200_AI219
214,J2413.1
954,Robbers_and_Murderers_950_AI969
954,Robbers_and_Murderers_950_AI969
954,676
954,676
954,K312
954,K312
954,D1552.2
954,N455.3
954,N471
954,N478
954,N512
954,F721.4
954,14
954,1317
954,1772
954,2157
779C*,779
779C*,779
782,The_Truth_Comes_to_Light_780_AI799
782,The_Truth_Comes_to_Light_780_AI799
782,F511.2.2
782,N465
782,D1316.5
782,D1610.34
1260B*,Stories_about_a_Fool_1200_AI1349
1260B*,Stories_about_a_Fool_1200_AI1349
1260B*,J1849.3
611,Magic_Objects_560_AI649
611,Magic_Objects_560_AI649
611,T102
611,T102
611,D817.1
611,D817.1
611,D1081
611,D1500.1.19
611,D1500.1.19
611,D1400.1.4.1
611,F451.5.1
611,D1266
611,D1244
611,D1500.1.22
611,246
611,641
611,726
611,1247
611,1263
611,1312
611,2041
611,2187
611,2767
934H,Tales_of_Fate_930_AI949
934H,Tales_of_Fate_930_AI949
934H,A1335.1.1
934H,A1335
934H,B291.2.1
934H,A1593
934H,A1335.1
934H,Z111
934H,B291.2
1825B,Other_Jokes_about_Religious_Figures_1800_AI1849
1825B,Other_Jokes_about_Religious_Figures_1800_AI1849
1825B,K1961.1.1
1825B,K1961.1.2
1825B,K1961.1.2
1825B,1052
1825B,1654
1825B,1888
1825B,1939
874*,The_Woman_Marries_the_Prince_870_AI879
874*,The_Woman_Marries_the_Prince_870_AI879
874*,R121.5
1542,The_Clever_Man_1525_AI1639
1542,The_Clever_Man_1525_AI1639
1542,1542A
1542,1542A
1542,L161
1542,K1321.1
1542,K1321.1
1542,K113
1542,K341.8.1
1542,K842
1542,K112.1
1542,J2401
1542,K133.2
1542,K133.1
1542,35
1542,492
1542,512
1542,701
1542,865
1542,869
1542,1058
1542,2189
1698A,The_Stupid_Man_1675_AI1724
1698A,The_Stupid_Man_1675_AI1724
1698A,X111.1
1698A,X111.1
78,Other_Wild_Animals_70_AI99
78,Other_Wild_Animals_70_AI99
78,K713.1.2
78,K713.1.1
1621*,The_Clever_Man_1525_AI1639
1621*,The_Clever_Man_1525_AI1639
1621*,2166
1621*,2221
1621*,2293
1621*,2799
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2010IA
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2010IA
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2011
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2011
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2013
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2013
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2015
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2015
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2009
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2009
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2014
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2010I
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2010I
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2019
Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020,2016
159C,Wild_Animals_and_Humans_150_AI199
159C,Wild_Animals_and_Humans_150_AI199
159C,J1454
1698K,The_Stupid_Man_1675_AI1724
1698K,The_Stupid_Man_1675_AI1724
1698K,X111.11
1698K,X111.11
1698K,239
590,Magic_Objects_560_AI649
590,Magic_Objects_560_AI649
590,H1333.3.1
590,D880
590,F615
590,H1212
590,H1212
590,D1335.4
590,D1335.4
590,H1211
590,D1364.4.1
590,D1364.4.1
590,B512
590,B512
590,D840
590,D840
590,H1333.3.1.3
590,H1333.3.1.3
590,D1335.5
590,F615.2.1
590,B431.2
590,B520
590,D861
590,H1361
590,H1361
590,H1333.3.1.1
590,H1333.3.1.1
590,S12.1
590,S12.1
590,K975
590,K975
590,H931
590,B315
590,R111.1.1
590,R111.1.1
590,D1505.5
590,S165
590,S31
590,E106
590,S12
590,H322
590,D981.1
590,D1242.1
590,G550
590,D1057
590,D837
590,1373
590,1693
590,1876
590,2182
590,2195
1289,Stories_about_a_Fool_1200_AI1349
1289,Stories_about_a_Fool_1200_AI1349
1289,J2213.1
1289,J2213.1
244B*,Birds_220_AI249
244B*,Birds_220_AI249
68*,The_Clever_Fox_(Other_Animal)_1_AI69
68*,The_Clever_Fox_(Other_Animal)_1_AI69
68*,245*
68*,245*
68*,J655.1
68*,J652.2
68*,J655.2
68*,J655.2
839A*,Other_Religious_Tales_827_AI849
839A*,Other_Religious_Tales_827_AI849
1871Z,J1442.5
1871Z,J1442.6
1871Z,J1442.3
1871Z,J211.1
1871Z,J1442.4
1871Z,J1442.10
1871Z,J1442.2
1871Z,J1442.1.1
1871Z,J1442.4.1
1871Z,J1442.8
1698E,X111.5
872*,The_Woman_Marries_the_Prince_870_AI879
872*,The_Woman_Marries_the_Prince_870_AI879
872*,S143
872*,K2212.2
1592B,The_Clever_Man_1525_AI1639
1592B,The_Clever_Man_1525_AI1639
1592B,J1531.3
1248,Stories_about_a_Fool_1200_AI1349
1248,Stories_about_a_Fool_1200_AI1349
1248,J1964
1248,J1964
1543A*,1543*
1543A*,892
1543A*,1013
1543A*,1218
1543A*,2181
1543A*,2448
1543A*,2553
1543A*,2886
312,Supernatural_Adversaries_300_AI399
312,R11.1
312,C611
312,C611
312,G551.1
312,G551.1
312,S62.1
312,S62.1
312,K551
312,C913
312,G100
312,G501
312,R10.1
312,D1654.3
312,G400
312,D474.1
312,G550
312,G552
312,F545.1.1
312,225
1373,Stories_about_Married_Couples_1350_AI1439
1373,J1611
1373,J1611
34C,The_Clever_Fox_(Other_Animal)_1_AI69
34C,J344.1
778,God_Rewards_and_Punishes_750_AI779
778,K231.3
778,K231.3.1
506**,505
1698L,1698G
1698L,X111.12
1360,Stories_about_Married_Couples_1350_AI1439
1360,96
1360,152
1360,236
1360,370
1360,1812
1360,2245
1360,2271
1360,2726
244***,244C*
233A,Birds_220_AI249
233A,Birds_220_AI249
233A,K522.4
118,J2351.4
118,J2351.4
1278*,J1922.2.1
958F*,Robbers_and_Murderers_950_AI969
958F*,Robbers_and_Murderers_950_AI969
958F*,H1578.1.4.1
1553,The_Clever_Man_1525_AI1639
1553,K182
1214,Stories_about_a_Fool_1200_AI1349
1214,J2087
312A,Supernatural_Adversaries_300_AI399
2024*,Chains_Involving_a_Death_(with_Animal_Actors)_2021-2024
2024*,Z32.4
1242,Stories_about_a_Fool_1200_AI1349
1242,J2213.4
1242,J2213.4
1706A,The_Stupid_Man_1675_AI1724
985**,Other_Realistic_Tales_970_AI999
985**,K1353
985**,T455.2
1429*,The_Foolish_Husband_and_his_Wife_1405_AI1429
1336,Stories_about_a_Fool_1200_AI1349
1336,J1791.3
1463,Looking_for_a_Wife_1450_AI1474
1463,K95
1315*,Stories_about_a_Fool_1200_AI1349
1315*,J1781.1
1315*,J1781.1
898,Proofs_of_Fidelity_and_Innocence_880_AI899
898,S313
898,T381
898,T521
836F*,Other_Religious_Tales_827_AI849
836F*,726**
836F*,726**
836F*,D1331.3.1
836F*,D1331.3.2
836F*,J514.3
836F*,D1323.5
1586,The_Clever_Man_1525_AI1639
1586,1586A
1586,1586A
1586,1433*
1586,1433*
1586,N333.1
1586,J1193.1
1586,J1193.1
1586,N333.2
1586,J1833.1
1586,J1833
1586,2184
156*,169*
434*,Husband_425_AI449
434*,D700
434*,D161.3
434*,D161
434*,H911
434*,L161
434*,H1132.1.7
434*,D641
434*,H1132.1.3
452C*,511
1932,Tall_Tales_1875_AI1999
1932,F771.1.10
1932,X1863
888A*,Proofs_of_Fidelity_and_Innocence_880_AI899
888A*,949*
888A*,949*
671,Supernatural_Power_or_Knowledge_650_AI699
671,B215
671,B215.1
671,B215.1
671,K512.2
671,K512.2
671,H171.2
671,H171.2
671,B215.2
671,B215.2
671,B215.4
671,B215.4
671,M373
671,B216
671,L425
671,B217
671,C55
671,S11
671,H41.3
671,1376
240,Birds_220_AI249
240,240*
240,240*
240,A2247.4
240,A2247.4
233D,Birds_220_AI249
233D,J869.1
1700,The_Stupid_Man_1675_AI1724
1700,J2496
961B,Robbers_and_Murderers_950_AI969
961B,Robbers_and_Murderers_950_AI969
961B,J1161.4
293C*,Other_Animals_and_Objects_220_AI299
293C*,Other_Animals_and_Objects_220_AI299
1419J*,The_Foolish_Husband_and_his_Wife_1405_AI1429
1419J*,The_Foolish_Husband_and_his_Wife_1405_AI1429
1318,Stories_about_a_Fool_1200_AI1349
1318,Stories_about_a_Fool_1200_AI1349
1318,J1838
1318,J1782
1318,J1782.1
951A*,951A
951A*,951A
1379*,Stories_about_Married_Couples_1350_AI1439
1379*,Stories_about_Married_Couples_1350_AI1439
123,K1839.1
123,Q426
123,K1832
123,K1832
123,F913
123,F913
123,J144
123,J144
123,K311.3
123,K311.3
123,J2133.7
123,F911.3
123,K828
1832F*,Other_Jokes_about_Religious_Figures_1800_AI1849
1832F*,Other_Jokes_about_Religious_Figures_1800_AI1849
1832F*,936
1832F*,1330
1380*,1380A*
1380*,1380A*
1380*,K1971.5
1388,1380A*
1388,1380A*
1388,1856
1388,2460
1200,Stories_about_a_Fool_1200_AI1349
1200,Stories_about_a_Fool_1200_AI1349
1200,J2348
1200,J1932.4
1200,J1932.1
1200,J1932.3
1200,J1932.3
1200,J1932.5
1200,J1932.2
1200,J1932.4.1
1200,J1700
1200,195
1200,332
1200,481
1200,1003
1200,1449
1200,2469
1405,The_Foolish_Husband_and_his_Wife_1405_AI1429
1405,The_Foolish_Husband_and_his_Wife_1405_AI1429
1405,W111
1405,J2325
1405,J2325
1405,K1971.4.1
1405,K1971.4.1
1405,J1702
1405,2342
400,Wife_400_AI424
400,400*
400,400*
400,401A
400,401A
400,401
400,401
400,S240
400,D1364.15
400,D831
400,H1235
400,H1385.3
400,D361.1
400,K218.2
400,D1364.4.1
400,N681
400,D1972
400,C31.6
400,D832
400,H51.1
400,H94.4
400,D1076
400,S211
400,B421
400,B560
400,M210
400,C932
400,H1233.1.1
400,Q502.2
400,N825.3
400,C234
400,K1335
400,F751
400,D2121
400,D5
400,H94.1
400,B563
400,C200
400,C735.1
400,D981.1
400,D1361.12
400,C401.1
400,D1053
400,C430
400,C250
400,F545.2.1
400,D1182
400,H1472
400,D2120
400,R41.1
400,18
400,79
400,101
400,121
400,233
400,253
400,339
400,376
400,418
400,482
400,506
400,547
400,608
400,651
400,714
400,886
400,900
400,988
400,997
400,1050
400,1227
400,1228
400,1357
400,1380
400,1390
400,1432
400,1439
400,1470
400,1480
400,1592
400,1598
400,1651
400,1706
400,1748
400,1751
400,1799
400,1809
400,1810
400,1816
400,1820
400,1844
400,1938
400,1976
400,1982
400,1983
400,1999
400,2028
400,2040
400,2061
400,2111
400,2115
400,2119
400,2156
400,2204
400,2261
400,2266
400,2299
400,2307
400,2361
400,2398
400,2440
400,2445
400,2514
400,2533
400,2568
400,2655
923B,Clever_Acts_and_Words_920_AI929
923B,Clever_Acts_and_Words_920_AI929
923B,L419.2
923B,D1866
923B,M21
923B,N145
1920D,Tall_Tales_1875_AI1999
1920D,Tall_Tales_1875_AI1999
1920D,X904.1
1920D,X904.2
485,Supernatural_Tasks_460_AI499
485,Supernatural_Tasks_460_AI499
485,485A*
485,485A*
31,The_Clever_Fox_(Other_Animal)_1_AI69
31,The_Clever_Fox_(Other_Animal)_1_AI69
31,K652
31,K652
1316****,J1754
62A,The_Clever_Fox_(Other_Animal)_1_AI69
62A,The_Clever_Fox_(Other_Animal)_1_AI69
62A,K2010.3
62A,K191
229,Birds_220_AI249
229,Birds_220_AI249
229,J2616
1265*,Stories_about_a_Fool_1200_AI1349
1265*,Stories_about_a_Fool_1200_AI1349
1265*,J2083.2
1265*,J2083.2
1341B*,1341A
1341B*,1341A
880*,Proofs_of_Fidelity_and_Innocence_880_AI899
880*,Proofs_of_Fidelity_and_Innocence_880_AI899
1739A*,The_Clergyman_Is_Tricked_1725_AI1774
1739A*,The_Clergyman_Is_Tricked_1725_AI1774
1739A*,J2321.2
1445*,1374*
1445*,1374*
1445*,J2499.1
1641D*,Lucky_Accidents_1640_AI1674
1641D*,Lucky_Accidents_1640_AI1674
1419,The_Foolish_Husband_and_his_Wife_1405_AI1429
1419,The_Foolish_Husband_and_his_Wife_1405_AI1429
1419,1419K*
1419,1419K*
1419,K1510
1419,K1521.2
1419,205
1419,459
1419,715
1419,1434
1807,Other_Jokes_about_Religious_Figures_1800_AI1849
1807,Other_Jokes_about_Religious_Figures_1800_AI1849
1476B,1476C
1476B,1476C
1476B,G303.12.5
1073,Contest_between_Man_and_Ogre_1060_AI1114
1073,Contest_between_Man_and_Ogre_1060_AI1114
1073,K15.1
1073,K15.1
980*,Other_Realistic_Tales_970_AI999
980*,Other_Realistic_Tales_970_AI999
980*,K843
980*,F721.1
1948,Tall_Tales_1875_AI1999
1948,Tall_Tales_1875_AI1999
1351A,Stories_about_Married_Couples_1350_AI1439
1351A,Stories_about_Married_Couples_1350_AI1439
184,Wild_Animals_and_Humans_150_AI199
184,Wild_Animals_and_Humans_150_AI199
184,J1551.9
2030E,2030
2030E,2030
926C,Clever_Acts_and_Words_920_AI929
926C,Clever_Acts_and_Words_920_AI929
926C,J1141
926C,J1179.6
926C,J1141.1
926C,J1172.1
926C,J1141.1.4
926C,J1154.2
926C,2509
The_Foolish_Couple_1430_AI1439,Stories_about_Married_Couples_1350_AI1439
The_Foolish_Couple_1430_AI1439,Stories_about_Married_Couples_1350_AI1439
The_Foolish_Couple_1430_AI1439,1435*
The_Foolish_Couple_1430_AI1439,1435*
The_Foolish_Couple_1430_AI1439,1430A
The_Foolish_Couple_1430_AI1439,1430A
The_Foolish_Couple_1430_AI1439,1437
The_Foolish_Couple_1430_AI1439,1437
The_Foolish_Couple_1430_AI1439,1431
The_Foolish_Couple_1430_AI1439,1431
The_Foolish_Couple_1430_AI1439,1430
The_Foolish_Couple_1430_AI1439,1430
879*,The_Woman_Marries_the_Prince_870_AI879
879*,The_Woman_Marries_the_Prince_870_AI879
879*,K1310
879*,N699.6
879*,K1812
879*,N455.3
151,Wild_Animals_and_Humans_150_AI199
151,Wild_Animals_and_Humans_150_AI199
151,K1111.0.1
151,K1111.0.1
151,142
151,213
151,643
151,2123
1827A,Other_Jokes_about_Religious_Figures_1800_AI1849
1827A,Other_Jokes_about_Religious_Figures_1800_AI1849
1420,The_Foolish_Husband_and_his_Wife_1405_AI1429
1420,The_Foolish_Husband_and_his_Wife_1405_AI1429
1420,K1581
1525L,The_Clever_Man_1525_AI1639
1525L,The_Clever_Man_1525_AI1639
1525L,K242
215,Domestic_Animals_200_AI219
215,Domestic_Animals_200_AI219
215,J2413.3
703*,Other_Tales_of_the_Supernatural_700_AI749
703*,Other_Tales_of_the_Supernatural_700_AI749
2025,Chains_Involving_Eating_2025_AI2028
2025,Chains_Involving_Eating_2025_AI2028
2025,A2275.5.1
2025,Z33.1
2025,1676
2025,1916
2025,2210
2025,2212
2025,2216
2025,2402
2025,2898
2025,2899
2031A,Chains_Involving_Other_Events_2029_AI2075
2031A,Chains_Involving_Other_Events_2029_AI2075
2031A,H631.8
2031A,H631.5
2031A,Z42.1
2031A,H631.9
2031A,H631.4
1013,Labor_Contract_1000_AI1029
1013,Labor_Contract_1000_AI1029
1013,K1462
1013,K1462
171A*,Wild_Animals_and_Humans_150_AI199
171A*,Wild_Animals_and_Humans_150_AI199
2D,The_Clever_Fox_(Other_Animal)_1_AI69
2D,The_Clever_Fox_(Other_Animal)_1_AI69
2D,2C
2D,40B*
2D,40B*
1377,Stories_about_Married_Couples_1350_AI1439
1377,Stories_about_Married_Couples_1350_AI1439
1377,K1511
1377,K1511
1860A,X312
1139,Man_Kills_(Injures)_Ogre_1115_AI1144
1139,Man_Kills_(Injures)_Ogre_1115_AI1144
1139,K522.2
1139,K522.2
545A,Supernatural_Helpers_500_AI559
545A,L162
545A,G100
545A,K1952.2
545A,G111
545A,K1952.1
1275*,Stories_about_a_Fool_1200_AI1349
1275*,Stories_about_a_Fool_1200_AI1349
225,Birds_220_AI249
225,965
222A,Other_Animals_and_Objects_220_AI299
222A,Other_Animals_and_Objects_220_AI299
222A,B261.1
222A,A2491.1
533*,404
533*,404
1362B*,Stories_about_Married_Couples_1350_AI1439
1362B*,Stories_about_Married_Couples_1350_AI1439
1362B*,J2212.1.1
1617*,The_Clever_Man_1525_AI1639
1617*,The_Clever_Man_1525_AI1639
1617*,K421.1
1617*,K1667.1.1
1617*,K1667.1
1617*,J1141.6
1617*,K1667.1.2
230*,Birds_220_AI249
230*,Birds_220_AI249
230*,A2250.1
1750A,The_Clergyman_Is_Tricked_1725_AI1774
1750A,The_Clergyman_Is_Tricked_1725_AI1774
1750A,2255
1750A,2284
1575**,1380A*
1575**,1380A*
1575**,K1971.3
1380**,1380A*
1380**,1380A*
1380**,K1971.5.1
1063B,1063A
1063B,1063A
1063B,454
1689B,The_Stupid_Man_1675_AI1724
1689B,The_Stupid_Man_1675_AI1724
1689B,J2562
570,Magic_Objects_560_AI649
570,H1112
570,H335
570,K1288
570,K1271.1.1
570,D1224
570,L13
570,Q2
570,N821
570,L10
570,B845
570,H1376.4
570,P412.3
570,153
570,299
570,340
570,680
570,687
570,847
570,1032
570,1827
570,2021
570,2074
570,2535
570,2582
570,2664
570,2674
412,Wife_400_AI424
412,Wife_400_AI424
412,E711.4
545B,Supernatural_Helpers_500_AI559
545B,N411.1.1
545B,K1952.2
545B,K1952.1
545B,1660
751A,God_Rewards_and_Punishes_750_AI779
751A,751
751A,751
751A,D661
751A,Q551.3.1
751A,K1811
751A,Q556.7
751A,Q291.1
751A,D1652.1.2
751A,Q1.1
751A,D153.1
751A,Q292.1
751A,Q551.3.2.2
751A,A1958.0.1
751A,2732
56D*,56B
293D*,Other_Animals_and_Objects_220_AI299
72,Other_Wild_Animals_70_AI99
72,Other_Wild_Animals_70_AI99
72,K1241
72,K1241
72,K1241.1
72,K1241.1
1675,The_Stupid_Man_1675_AI1724
1675,The_Stupid_Man_1675_AI1724
1675,K491
1675,K491
1675,J1882.2
1675,J1882.2
1675,H1024.4
1675,91
1675,114
1675,216
1675,466
1675,532
1675,707
1675,942
1675,1174
1675,1253
1675,1545
1675,1886
1675,2004
1675,2096
1675,2284
1675,2650
671D*,Supernatural_Power_or_Knowledge_650_AI699
671D*,Supernatural_Power_or_Knowledge_650_AI699
840,Other_Religious_Tales_827_AI849
840,Other_Religious_Tales_827_AI849
840,F171.6
840,E733.1
1698A*,The_Stupid_Man_1675_AI1724
1698A*,The_Stupid_Man_1675_AI1724
122A,91A*
122A,K551.3.4
122A,K551.8
122A,K551.8
122A,K551.1
122A,K551.1
122A,K550
122A,951
9B,9
9B,9
9B,K171.2
1692,The_Stupid_Man_1675_AI1724
1692,J2136.5.5
1692,J2136.5.7
1692,J2136
1692,J2461.1.7.1
1692,J2136.5.6
1692,J2461.1.7
1811B,Other_Jokes_about_Religious_Figures_1800_AI1849
1811B,Other_Jokes_about_Religious_Figures_1800_AI1849
1734*,The_Clergyman_Is_Tricked_1725_AI1774
1734*,The_Clergyman_Is_Tricked_1725_AI1774
160*,Wild_Animals_and_Humans_150_AI199
160*,Wild_Animals_and_Humans_150_AI199
160*,K525
333B,334
333B,334
1629*,The_Clever_Man_1525_AI1639
1629*,The_Clever_Man_1525_AI1639
1629*,K341.22
1629*,1261
9,The_Clever_Fox_(Other_Animal)_1_AI69
9,The_Clever_Fox_(Other_Animal)_1_AI69
9,K171.1
9,K471
9,K1251.1
9,K171.2
9,K172.1
1319A*,Stories_about_a_Fool_1200_AI1349
1319A*,Stories_about_a_Fool_1200_AI1349
1319A*,J1781.2
518,Supernatural_Helpers_500_AI559
518,Supernatural_Helpers_500_AI559
518,H335
518,D832
518,D832
518,D753
518,G100
56C,56B
56C,56B
910N,Good_Precepts_910_AI919
910N,Good_Precepts_910_AI919
1832E*,Other_Jokes_about_Religious_Figures_1800_AI1849
2015*,2030
56D,The_Clever_Fox_(Other_Animal)_1_AI69
56D,The_Clever_Fox_(Other_Animal)_1_AI69
56D,K827.1
1567*,1567
1826A*,Other_Jokes_about_Religious_Figures_1800_AI1849
958A*,Robbers_and_Murderers_950_AI969
958A*,Q453.1
750C,God_Rewards_and_Punishes_750_AI779
750C,D133.1
750C,K181
947A,Tales_of_Fate_930_AI949
947A,842
947A,842
947A,N351.2
947A,Q34
947A,H1281
751E*,God_Rewards_and_Punishes_750_AI779
751E*,A751.6
751E*,A751.4
751E*,A751.1
751E*,A751
751E*,A751.1.1
751E*,A751.2
751E*,A751.3
425D,Husband_425_AI449
425D,Husband_425_AI449
425D,425F
425D,425F
425D,C991
425D,B640.1
425D,H11.1.1
425D,C932
425D,H1194
425D,D150
425D,T68
425D,K1837
169F*,169*
Lucky_Accidents_1640_AI1674,Stories_about_a_Man_1525_AI1724
Lucky_Accidents_1640_AI1674,1653
Lucky_Accidents_1640_AI1674,1653
Lucky_Accidents_1640_AI1674,1659
Lucky_Accidents_1640_AI1674,1659
Lucky_Accidents_1640_AI1674,1651
Lucky_Accidents_1640_AI1674,1641C
